ID,num_anomaly,num_days,percent_num_anomaly
85,14,38,36.84210526315789
84,18,38,47.368421052631575
83,14,38,36.84210526315789
82,24,38,63.1578947368421
81,37,38,97.36842105263158
80,38,38,100.0
79,38,38,100.0
78,0,38,0.0
103,29,38,76.31578947368422
102,2,38,5.263157894736842
101,32,38,84.21052631578947
100,27,38,71.05263157894737
99,37,38,97.36842105263158
97,3,38,7.894736842105263
96,10,38,26.31578947368421
121,2,38,5.263157894736842
120,2,38,5.263157894736842
119,6,38,15.789473684210526
118,11,38,28.947368421052634
117,38,38,100.0
116,38,38,100.0
115,16,38,42.10526315789473
114,12,38,31.57894736842105
139,2,38,5.263157894736842
138,2,38,5.263157894736842
137,2,38,5.263157894736842
136,2,38,5.263157894736842
135,17,38,44.73684210526316
134,10,38,26.31578947368421
133,19,38,50.0
132,17,38,44.73684210526316
157,14,38,36.84210526315789
156,2,38,5.263157894736842
155,1,38,2.631578947368421
154,1,38,2.631578947368421
153,1,38,2.631578947368421
152,16,38,42.10526315789473
151,4,38,10.526315789473683
150,17,38,44.73684210526316
175,9,38,23.684210526315788
174,2,38,5.263157894736842
173,1,38,2.631578947368421
172,1,38,2.631578947368421
171,1,38,2.631578947368421
170,2,38,5.263157894736842
169,4,38,10.526315789473683
168,23,38,60.526315789473685
193,9,38,23.684210526315788
192,1,38,2.631578947368421
191,1,38,2.631578947368421
190,1,38,2.631578947368421
189,1,38,2.631578947368421
188,2,38,5.263157894736842
187,2,38,5.263157894736842
186,14,38,36.84210526315789
211,21,38,55.26315789473685
210,1,38,2.631578947368421
209,1,38,2.631578947368421
208,3,38,7.894736842105263
207,3,38,7.894736842105263
206,2,38,5.263157894736842
205,18,38,47.368421052631575
204,14,38,36.84210526315789
229,21,38,55.26315789473685
228,14,38,36.84210526315789
227,2,38,5.263157894736842
226,8,38,21.052631578947366
225,6,38,15.789473684210526
224,3,38,7.894736842105263
223,18,38,47.368421052631575
222,15,38,39.473684210526315
247,17,38,44.73684210526316
246,14,38,36.84210526315789
245,14,38,36.84210526315789
244,11,38,28.947368421052634
243,7,38,18.421052631578945
242,3,38,7.894736842105263
241,20,38,52.63157894736842
240,18,38,47.368421052631575
